rank,name,city,state,control,band,score,admit_rate,completion_rate,retention_rate,sat_avg,undergrad_size,earnings_10yr,tuition_in,tuition_out,net_price,materials_score,biology_score,profile_score,outcomes_score,access_score,ca_value_score,materials_awards,biology_awards,neuro_awards,programs,why_apply,caution
11,Case Western Reserve University,Cleveland,OH,Private nonprofit,Competitive/possible by admit rate,82.83765580286946,0.3654,0.8717,0.9214,1513.0,6437.0,87989.0,66608.0,66608.0,41190.0,0.8136880335594845,0.8857465564395195,0.8281849196769255,0.905936,0.8,0.0,30.0,184.0,33.0,"materials: Materials Engineering; Polymer/Plastics Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences",Strong pre-med/biomedical ecosystem with nearby clinical research depth.,"needs department, cost, and admissions verification"
12,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,Public,More accessible by admit rate,82.55217531952867,0.5808,0.855,0.9199,1370.0,20370.0,66125.0,21926.0,41430.0,30434.0,0.6525135770572267,1.0,0.8118546161994571,0.8947073404920184,1.0,0.0,22.0,525.0,189.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biological and Physical Sciences; Biology, General; Biomathematics, Bioinformatics, and Computational Biology | neuro: Neurobiology and Neurosciences",Excellent clinical/medical research environment; materials less central.,"needs department, cost, and admissions verification"
13,University of Pennsylvania,Philadelphia,PA,Private nonprofit,Far reach by admit rate,81.40419227928821,0.054,0.9654,0.9888,1553.0,10650.0,111371.0,68686.0,68686.0,28699.0,0.719425478413729,0.9506294516464058,0.8657284039956874,0.977132,0.35,0.0,25.0,234.0,132.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biological and Physical Sciences; Biology, General; Biomathematics, Bioinformatics, and Computational Biology | neuro: Neurobiology and Neurosciences","Excellent bioengineering, neuroscience, and clinical research environment.",lottery-level selectivity
14,Purdue University-Main Campus,West Lafayette,IN,Public,More accessible by admit rate,80.87836002580724,0.4987,0.831,0.927,1364.0,44503.0,72424.0,9992.0,28794.0,14600.0,0.8899999999999999,0.832294146900571,0.6737970294133684,0.88373,1.0,0.0,74.0,495.0,57.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biological and Physical Sciences; Biology, General; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences",Very strong engineering/materials option with solid life-science breadth.,"needs department, cost, and admissions verification"
15,Johns Hopkins University,Baltimore,MD,Private nonprofit,Far reach by admit rate,80.66670720234069,0.0644,0.9378,0.9809,1553.0,5693.0,87555.0,65230.0,65230.0,18809.0,0.6946314214425018,0.9635995169251261,0.8625508009038747,0.959149,0.35,0.0,26.0,257.0,157.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Human Biology; Neurobiology and Neurosciences","Best-fit biomedical, neuroscience, clinical, and pre-med ecosystem.",lottery-level selectivity
16,University of Maryland-College Park,College Park,MD,Public,Competitive/possible by admit rate,79.77282823216723,0.4479,0.8859,0.962,1473.0,30760.0,82860.0,11809.0,41186.0,15678.0,0.7664301125949193,0.8777508866905136,0.7282536931182846,0.924322,0.8,0.0,33.0,611.0,67.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biological and Physical Sciences; Biology, General; Pharmacology and Toxicology | neuro: Neurobiology and Neurosciences",Strong public engineering/science school near federal research ecosystem.,"needs department, cost, and admissions verification"
17,Northwestern University,Evanston,IL,Private nonprofit,Far reach by admit rate,79.18533906793884,0.0769,0.9513,0.981,1533.0,9201.0,89363.0,68322.0,68322.0,29167.0,0.7132346584975784,0.8736760585694276,0.8619229352453501,0.967004,0.35,0.0,19.0,162.0,113.0,"materials: Materials Engineering; Materials Sciences | bio: Biochemistry, Biophysics and Molecular Biology; Biological and Physical Sciences; Biology, General; Biomathematics, Bioinformatics, and Computational Biology | neuro: Neurobiology and Neurosciences","One of the strongest overlaps for materials, biomedical engineering, and medicine.",lottery-level selectivity
18,Georgia Institute of Technology-Main Campus,Atlanta,GA,Public,Reach by admit rate,79.07131890154936,0.1407,0.9402,0.9808,1480.0,18785.0,102772.0,12058.0,34484.0,12116.0,0.8899999999999999,0.7467791225982384,0.7474566855359034,0.960516,0.55,0.0,75.0,166.0,90.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Physiology, Pathology and Related Sciences | neuro: Neurobiology and Neurosciences",Top engineering/materials strength with biomedical engineering access.,reach school
19,University of California-Berkeley,Berkeley,CA,Public,Reach by admit rate,78.83845877186815,0.1098,0.9284,0.9679,,33068.0,92446.0,16347.0,50547.0,13481.0,0.8386880335594846,0.76,0.6504000000000001,0.9504469999999999,0.55,1.0,30.0,1002.0,0.0,"materials: Materials Sciences | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences",Top California public for materials and molecular/cell biology; no med school on campus.,reach school
20,University of California-San Diego,La Jolla,CA,Public,Competitive/possible by admit rate,77.20334860779855,0.2671,0.8605,0.9402,,34948.0,84943.0,16758.0,50958.0,12470.0,0.39,0.9981452153268582,0.7629513025127628,0.90414,0.8,1.0,0.0,1364.0,179.0,"materials: Materials Engineering; Materials Sciences | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences","Excellent California public for bioengineering, neuroscience, and medicine.","needs department, cost, and admissions verification"
21,Stanford University,Stanford,CA,Private nonprofit,Far reach by admit rate,76.79263997017604,0.0361,0.9192,0.9818,1553.0,7554.0,124080.0,65910.0,65910.0,13807.0,0.6638119815148759,0.8530804881324243,0.8766009621949156,0.948586,0.25,0.0,12.0,62.0,140.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Cell/Cellular Biology and Anatomical Sciences; Microbiological Sciences and Immunology | neuro: Human Biology; Neurobiology and Neurosciences","Closest profile match: materials, bioengineering, stem-cell/neuro, and Bay Area labs.",lottery-level selectivity
22,University of Florida,Gainesville,FL,Public,Competitive/possible by admit rate,75.98794367801602,0.242,0.9112,0.9771,1403.0,35629.0,71588.0,6381.0,28659.0,6541.0,0.7824600729572176,0.78,0.6232000000000001,0.942771,0.8,0.0,58.0,1100.0,0.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences",Large public pre-med/biology ecosystem with engineering options.,"needs department, cost, and admissions verification"
23,Arizona State University Campus Immersion,Tempe,AZ,Public,More accessible by admit rate,75.19608593256658,0.8989,0.6804,0.8664,,64674.0,62668.0,12223.0,33139.0,14967.0,0.740428685834007,0.8637267760150064,0.6435028874191235,0.7792475812190245,1.0,0.0,34.0,1249.0,65.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences","Large public R1 with engineering, bioengineering, and life-science scale.","needs department, cost, and admissions verification"
24,University of Illinois Urbana-Champaign,Champaign,IL,Public,Competitive/possible by admit rate,74.84400016335844,0.4237,0.8513,0.948,1440.0,36258.0,81054.0,16004.0,35124.0,14355.0,0.8899999999999999,0.7212405565406314,0.5622217892238147,0.9007539999999999,0.8,0.0,92.0,341.0,0.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences",Materials/engineering powerhouse; bio/medicine path is less direct.,"needs department, cost, and admissions verification"
25,University of Arizona,Tucson,AZ,Public,More accessible by admit rate,74.5875044358874,0.8614,0.6752,0.8278,1246.0,42537.0,59979.0,13926.0,42278.0,16674.0,0.6035514718473731,0.9416611783523439,0.6907952145190792,0.7659144891760981,1.0,0.0,14.0,632.0,148.0,"materials: Materials Sciences | bio: Biochemistry, Biophysics and Molecular Biology; Biological and Physical Sciences; Biology, General; Biomathematics, Bioinformatics, and Computational Biology | neuro: Neurobiology and Neurosciences","More accessible R1 with medicine, neuroscience, and engineering breadth.","needs department, cost, and admissions verification"
26,Pennsylvania State University-Main Campus,University Park,PA,Public,More accessible by admit rate,74.45749759336158,0.6056,0.8609,0.9264,1337.0,42284.0,63435.0,20644.0,41790.0,32875.0,0.8899999999999999,0.71,0.49440000000000006,0.899122617880071,1.0,0.0,69.0,468.0,0.0,"materials: Materials Engineering; Materials Sciences; Polymer/Plastics Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biological and Physical Sciences; Biology, General; Biomathematics, Bioinformatics, and Computational Biology | neuro: Neurobiology and Neurosciences",Materials powerhouse; clinical/neuro path requires more intentional planning.,"needs department, cost, and admissions verification"
27,Rutgers University-New Brunswick,New Brunswick,NJ,Public,More accessible by admit rate,73.84861596602423,0.5815,0.8363,0.9302,1410.0,37751.0,74479.0,17929.0,37441.0,24406.0,0.6799648282816351,0.79,0.6141880416157559,0.8876040000000001,1.0,0.0,20.0,710.0,0.0,"materials: Ceramic Sciences and Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biological and Physical Sciences; Biology, General; Biomathematics, Bioinformatics, and Computational Biology | neuro: Neurobiology and Neurosciences","Strong public option with engineering, life sciences, and medical ecosystem access.","needs department, cost, and admissions verification"
28,University of Delaware,Newark,DE,Public,More accessible by admit rate,73.30905776389976,0.706,0.8055,0.9196,1292.0,19071.0,72950.0,16810.0,41400.0,17799.0,0.6608166156960663,0.8158146516206044,0.6032072098007416,0.86709,1.0,0.0,16.0,232.0,87.0,"materials: Materials Engineering; Materials Sciences | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences",Solid engineering/materials option with smaller-school feel.,"needs department, cost, and admissions verification"
29,Massachusetts Institute of Technology,Cambridge,MA,Private nonprofit,Far reach by admit rate,72.2152163964386,0.0455,0.9641,0.9908,1560.0,4535.0,143372.0,62396.0,62396.0,20111.0,0.7836880335594845,0.6419421308145633,0.7356548461743412,0.976878,0.25,0.0,30.0,47.0,16.0,"materials: Materials Engineering | bio: Biology, General; Biomathematics, Bioinformatics, and Computational Biology | neuro: Neurobiology and Neurosciences","Elite materials/biological engineering blend, with Boston medical adjacency.",lottery-level selectivity
30,North Carolina State University at Raleigh,Raleigh,NC,Public,Competitive/possible by admit rate,72.07609685213411,0.4174,0.8476,0.9447,1376.0,27371.0,68758.0,8799.0,32847.0,17303.0,0.8119953481380773,0.72,0.5228,0.8972092656799238,0.8,0.0,43.0,549.0,0.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Microbiological Sciences and Immunology",Strong public engineering/materials value with Research Triangle adjacency.,"needs department, cost, and admissions verification"
31,Cornell University,Ithaca,NY,Private nonprofit,Far reach by admit rate,71.63978026628055,0.0876,0.9538,0.9838,1535.0,15995.0,104043.0,69314.0,69314.0,28690.0,0.6887011111938542,0.7725557563952989,0.6481583778059105,0.969154,0.35,0.0,17.0,347.0,0.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biological and Physical Sciences; Biology, General; Biomathematics, Bioinformatics, and Computational Biology | neuro: Neurobiology and Neurosciences","Strong engineering, materials, biology, and translational research options.",lottery-level selectivity
32,Columbia University in the City of New York,New York,NY,Private nonprofit,Far reach by admit rate,71.53028601922325,0.0399,0.961,0.98,1553.0,8973.0,102491.0,71845.0,71845.0,21590.0,0.5168404906965589,0.8629522379146175,0.7569406027802816,0.97238,0.25,0.0,7.0,87.0,89.0,"materials: Materials Sciences | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences",Urban academic medical center plus engineering and neuroscience access.,lottery-level selectivity
33,Drexel University,Philadelphia,PA,Private nonprofit,More accessible by admit rate,70.7973499135591,0.7944,0.7816,0.8951,1345.0,13233.0,84648.0,62412.0,62412.0,38509.0,0.6461592041331906,0.7274848422425847,0.6166941294052848,0.847103,1.0,0.0,18.0,167.0,0.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences",Co-op model and Philadelphia biomedical ecosystem can fit applied research.,"needs department, cost, and admissions verification"
34,Carnegie Mellon University,Pittsburgh,PA,Private nonprofit,Reach by admit rate,69.57848812582775,0.1166,0.9413,0.98,1546.0,7304.0,114862.0,66246.0,66246.0,31944.0,0.7764301125949193,0.6051165632377655,0.5823602991670903,0.960954,0.55,0.0,33.0,43.0,32.0,"materials: Materials Sciences | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology | neuro: Neurobiology and Neurosciences",Excellent engineering/computation; best if computational biology is central.,reach school
35,Washington University in St Louis,St. Louis,MO,Private nonprofit,Reach by admit rate,69.08013689284928,0.1206,0.9426,0.9495,1530.0,7857.0,86182.0,65790.0,65790.0,21786.0,0.36,0.8844078439154861,0.7099513855815043,0.954083,0.55,0.0,0.0,163.0,69.0,"materials: Materials Engineering; Materials Sciences | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences",Excellent pre-med and biomedical research ecosystem.,reach school
36,The University of Texas at Austin,Austin,TX,Public,Competitive/possible by admit rate,68.23974000000001,0.2664,0.889,0.9674,1395.0,42855.0,75121.0,11688.0,44908.0,19857.0,0.28,0.9430000000000001,0.6412000000000001,0.92747,0.8,0.0,0.0,1002.0,264.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biological and Physical Sciences; Biology, General; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences",Strong engineering plus improving medical/biomedical ecosystem.,verify undergrad materials path
37,Lehigh University,Bethlehem,PA,Private nonprofit,Competitive/possible by admit rate,67.90951879411577,0.2593,0.8791,0.937,1440.0,5898.0,105584.0,64980.0,64980.0,36931.0,0.6876211615987255,0.6276898015818118,0.5430250291347003,0.9141279999999999,0.8,0.0,9.0,79.0,27.0,"materials: Materials Engineering; Polymer/Plastics Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biological and Physical Sciences; Biology, General | neuro: Neurobiology and Neurosciences",Good engineering/materials option with a more focused campus feel.,"needs department, cost, and admissions verification"
38,Duke University,Durham,NC,Private nonprofit,Far reach by admit rate,67.89870392065507,0.0571,0.9678,0.9793,1548.0,6442.0,97800.0,68758.0,68758.0,29612.0,0.305,0.9361761523204977,0.7011988371492559,0.9761489999999999,0.35,0.0,0.0,223.0,96.0,"materials: Materials Engineering; Materials Sciences | bio: Biochemistry, Biophysics and Molecular Biology; Biological and Physical Sciences; Biology, General; Biomathematics, Bioinformatics, and Computational Biology | neuro: Neurobiology and Neurosciences","High-end biomedical, neuroscience, and clinical research environment.",lottery-level selectivity; verify undergrad materials path
39,University of Virginia-Main Campus,Charlottesville,VA,Public,Reach by admit rate,66.27737827417674,0.1681,0.956,0.9755,1480.0,17597.0,86863.0,21803.0,59512.0,21565.0,0.506840490696559,0.763350874684592,0.5413257668368301,0.968355,0.55,0.0,7.0,337.0,0.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biological and Physical Sciences; Biology, General; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences",Strong pre-med/public R1 option with medical school access.,reach school
40,University of Southern California,Los Angeles,CA,Private nonprofit,Far reach by admit rate,66.18909588634457,0.0981,0.9183,0.9593,1495.0,20443.0,92498.0,72097.0,72097.0,32740.0,0.305,0.9089146907106339,0.6857000000000001,0.9424389999999999,0.35,0.0,0.0,149.0,382.0,"materials: Materials Engineering; Materials Sciences | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Human Biology; Neurobiology and Neurosciences",Private California option with engineering and major medical ecosystem.,lottery-level selectivity; verify undergrad materials path
41,Texas A&M University-College Station,College Station,TX,Public,More accessible by admit rate,65.84269868884958,0.5743,0.8391,0.9431,1280.0,59615.0,72097.0,13154.0,40124.0,21315.0,0.649628826298598,0.7409723618000384,0.32840478920822413,0.892453,1.0,0.0,49.0,979.0,33.0,"materials: Materials Engineering; Materials Sciences | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences",strong biology/neuro signal,"needs department, cost, and admissions verification"
42,Boston University,Boston,MA,Private nonprofit,Reach by admit rate,65.65672196593428,0.1111,0.8866,0.9472,1480.0,18248.0,83238.0,68102.0,68102.0,24402.0,0.21000000000000002,0.9814301663013276,0.6427823700456246,0.9210280000000001,0.55,0.0,0.0,413.0,147.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences",Strong urban biomedical ecosystem and flexible bioengineering adjacency.,reach school; verify undergrad materials path
43,Michigan State University,East Lansing,MI,Public,More accessible by admit rate,65.40300483707364,0.848,0.8072,0.9005,1269.0,40922.0,67253.0,16458.0,43842.0,19680.0,0.5744885508123171,0.8,0.35532610727618785,0.8623906276506458,1.0,0.0,28.0,824.0,255.0,"materials: Materials Engineering; Materials Sciences | bio: Biochemistry, Biophysics and Molecular Biology; Biological and Physical Sciences; Biology, General; Biomathematics, Bioinformatics, and Computational Biology | neuro: Neurobiology and Neurosciences",strong biology/neuro signal,"needs department, cost, and admissions verification"
44,Rensselaer Polytechnic Institute,Troy,NY,Private nonprofit,More accessible by admit rate,62.88530257145568,0.6347,0.8362,0.9072,1456.0,5714.0,102051.0,64081.0,64081.0,36228.0,0.6435514718473732,0.5232970243575769,0.438557961760992,0.881796,1.0,0.0,14.0,65.0,5.0,"materials: Materials Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biological and Physical Sciences; Biology, General; Biomathematics, Bioinformatics, and Computational Biology | neuro: Neurobiology and Neurosciences",Engineering-heavy school; useful if materials is primary.,"needs department, cost, and admissions verification"
45,Vanderbilt University,Nashville,TN,Private nonprofit,Far reach by admit rate,62.561382848721735,0.0586,0.9354,0.9634,1549.0,7208.0,91565.0,67498.0,67498.0,15846.0,0.21000000000000002,0.8741208776840848,0.6455544846358083,0.9533820000000001,0.35,0.0,0.0,91.0,112.0,"materials: Materials Sciences | bio: Biochemistry, Biophysics and Molecular Biology; Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Cell/Cellular Biology and Anatomical Sciences | neuro: Neurobiology and Neurosciences",Excellent medicine/neuroscience/pre-med environment; materials less central.,lottery-level selectivity; verify undergrad materials path
46,Auburn University,Auburn,AL,Public,More accessible by admit rate,62.452711714154916,0.4592,0.8195,0.9478,1345.0,26816.0,65337.0,12890.0,34922.0,24323.0,0.6332346584975784,0.6323118086714947,0.3165965115451924,0.8809099870578182,1.0,0.0,19.0,560.0,27.0,"materials: Materials Engineering; Polymer/Plastics Engineering | bio: Biology, General; Biomathematics, Bioinformatics, and Computational Biology; Microbiological Sciences and Immunology; Physiology, Pathology and Related Sciences | neuro: Neurobiology and Neurosciences",balanced baseline fit from public outcomes/program data,"needs department, cost, and admissions verification"
47,Washington State University,Pullman,WA,Public,More accessible by admit rate,60.87142136838861,0.8664,0.605,0.7834,,21099.0,68905.0,13391.0,29950.0,14971.0,0.5849648282816351,0.7615820051693094,0.3247387128773642,0.7162087507143127,1.0,0.0,20.0,472.0,61.0,"materials: Materials Engineering; Materials Sciences | bio: Biochemistry, Biophysics and Molecular Biology; Biological and Physical Sciences; Biology, General; Biomathematics, Bioinformatics, and Computational Biology | neuro: Human Biology; Neurobiology and Neurosciences",strong biology/neuro signal,"needs department, cost, and admissions verification"
48,University of Massachusetts-Amherst,Amherst,MA,Public,More accessible by admit rate,60.844626000000005,0.5973,0.8326,0.9191,1423.0,23671.0,71631.0,17772.0,40449.0,22383.0,0.37,0.73,0.4148,0.882683,1.0,0.0,0.0,801.0,0.0,"materials: Materials Engineering; Materials Sciences; Polymer/Plastics Engineering | bio: Biochemistry, Biophysics and Molecular Biology; Biological and Physical Sciences; Biology, General; Biomathematics, Bioinformatics, and Computational Biology | neuro: Neurobiology and Neurosciences",Good materials/polymer and life-science option; less clinical than med-center schools.,"needs department, cost, and admissions verification"
